ID_TIPO_ATENDIMENTO;FL_VERSAO;SQE_TIPO_ATENDIMENTO;NOME;
599;2;260;REFORMA OU OBRA - REFORMA - OBRAS DE INFRA ESTRUTURA URBANA;
577;2;207;REFORMA OU OBRA - RECAPEAMENTO - VIAS PUBLICAS;
805;2;816;SERVICOS - ESPECIALIZADO - ELABORACAO DE PROJETO DE ENGENHARIA NA AREA DE SANEAMENTO;
712;2;608;EVENTOS - REALIZACAO - FEIRAS NACIONAIS E INTERNACIONAIS;
687;2;543;SERVICOS - ESPECIALIZADO - PROJETO BASICO DE ENGENHARIA;
675;2;518;EVENTOS - REALIZACAO - FESTIVAL;
727;2;642;EVENTOS - REALIZACAO - FESTIVIDADES;
718;2;618;SERVICOS - MANUTENCAO - ENSINO REGULAR;
814;2;847;EVENTOS - PARTICIPACAO - FEIRAS NACIONAIS E INTERNACIONAIS;
771;2;739;AQUISICAO DE BENS - PERMANENTE - MAQUINARIO INDUSTRIAL;
795;2;797;EVENTOS - REALIZACAO - ESPACO CULTURAL;
813;2;840;REFORMA OU OBRA - CONSTRUCAO - ESCOLA ESTADUAL;
661;2;427;SERVICOS - CUSTODIA - RECUPERANDO;
738;2;653;REFORMA OU OBRA - PAVIMENTACAO - VIA URBANA;
